id,y,small__small_f_bp_0_500__meanch,small__small_f_bp_0_500__stdch,small__small_f_bp_10000_20000__meanch,small__small_f_bp_10000_20000__stdch,small__small_f_bp_2000_5000__meanch,small__small_f_bp_2000_5000__stdch,small__small_f_bp_5000_10000__meanch,small__small_f_bp_5000_10000__stdch,small__small_f_bp_500_2000__meanch,small__small_f_bp_500_2000__stdch,small__small_f_f_dom__meanch,small__small_f_f_dom__stdch,small__small_f_rolloff_85__meanch,small__small_f_rolloff_85__stdch,small__small_f_spec_bw__meanch,small__small_f_spec_bw__stdch,small__small_f_spec_centroid__meanch,small__small_f_spec_centroid__stdch,small__small_f_spec_entropy__meanch,small__small_f_spec_entropy__stdch,small__small_t_crest__meanch,small__small_t_crest__stdch,small__small_t_energy__meanch,small__small_t_energy__stdch,small__small_t_kurt__meanch,small__small_t_kurt__stdch,small__small_t_maxabs__meanch,small__small_t_maxabs__stdch,small__small_t_mean__meanch,small__small_t_mean__stdch,small__small_t_ptp__meanch,small__small_t_ptp__stdch,small__small_t_rms__meanch,small__small_t_rms__stdch,small__small_t_skew__meanch,small__small_t_skew__stdch,small__small_t_std__meanch,small__small_t_std__stdch,small__small_t_zcr__meanch,small__small_t_zcr__stdch,small__small_tf_stft_0_500_mean__meanch,small__small_tf_stft_0_500_mean__stdch,small__small_tf_stft_0_500_std__meanch,small__small_tf_stft_0_500_std__stdch,small__small_tf_stft_10000_20000_mean__meanch,small__small_tf_stft_10000_20000_mean__stdch,small__small_tf_stft_10000_20000_std__meanch,small__small_tf_stft_10000_20000_std__stdch,small__small_tf_stft_2000_5000_mean__meanch,small__small_tf_stft_2000_5000_mean__stdch,small__small_tf_stft_2000_5000_std__meanch,small__small_tf_stft_2000_5000_std__stdch,small__small_tf_stft_5000_10000_mean__meanch,small__small_tf_stft_5000_10000_mean__stdch,small__small_tf_stft_5000_10000_std__meanch,small__small_tf_stft_5000_10000_std__stdch,small__small_tf_stft_500_2000_mean__meanch,small__small_tf_stft_500_2000_mean__stdch,small__small_tf_stft_500_2000_std__meanch,small__small_tf_stft_500_2000_std__stdch,small__small_tf_stft_mag_mean__meanch,small__small_tf_stft_mag_mean__stdch,small__small_tf_stft_mag_std__meanch,small__small_tf_stft_mag_std__stdch,small__small_w_wav_E_L0__meanch,small__small_w_wav_E_L0__stdch,small__small_w_wav_E_L1__meanch,small__small_w_wav_E_L1__stdch,small__small_w_wav_E_L2__meanch,small__small_w_wav_E_L2__stdch,small__small_w_wav_E_L3__meanch,small__small_w_wav_E_L3__stdch,small__small_w_wav_E_L4__meanch,small__small_w_wav_E_L4__stdch
good/蛋1.xlsx,0,6.964956536311884e-08,4.717187563962284e-10,7.016108156735365e-07,8.61849835441244e-09,2.532146696221923e-07,1.3681483285798267e-09,1.0090613063934274e-06,2.6114399204671836e-09,8.557639401032655e-08,4.394614932265217e-09,6445.3125,23.4375,21023.4375,117.1875,6865.809187531822,41.522662591220524,11053.404292930305,41.96587020630068,5.459340161356501,0.016675098184371517,9.119565812678786,0.24950392075814154,0.012641789895833479,0.00013130989583334633,2.7668499098547192,0.2165415845509111,0.014801770833333339,0.0004817708333334503,-2.151057110211241e-17,6.106226635438361e-17,0.022500000000000075,0.000500000000000056,0.001622847863880032,8.428463600157932e-06,-0.04284303058367347,0.06624860543681554,0.001622847863880032,8.428463600157932e-06,0.39664513440300064,0.0009376953531985699,8.266649789053643e-05,1.5476232755817846e-06,5.678584995144685e-05,3.0848349831172616e-06,6.150290308886436e-05,3.595782791975048e-08,3.641256894144573e-05,6.880494565515191e-07,7.039377338136776e-05,3.920994496535622e-07,4.1095803733820775e-05,1.254448808201041e-06,8.781204788535638e-05,8.477681418455956e-08,8.496735593694619e-05,1.1591398823535372e-06,5.66930520949901e-05,2.0950877931422386e-06,3.0268655532454825e-05,6.137179598334315e-07,6.977818613138893e-05,1.417788413716559e-07,5.538101658462874e-05,2.6934607917415514e-07,0.0006083449145552368,6.487015088764989e-07,0.0005344377348252883,5.8027380030854786e-05,0.0022304609750966927,3.6505560570368814e-05,0.004257636856590745,4.611106051270915e-05,0.00506922737089043,0.00013511976011942265
good/蛋10.xlsx,0,8.557565209644585e-08,3.0879971813215504e-08,8.382907937987994e-07,1.1039862535889847e-08,2.741693836199029e-07,6.785847135465893e-09,1.1849134266474575e-06,2.1267019520892457e-08,1.277182454391444e-07,2.292983744151514e-08,6468.75,0.0,21843.75,234.375,6997.153887406428,85.84659950543983,11340.019621678603,249.25037663906824,5.492650216362964,0.023420094732725882,5.065748508216727,0.3158772915217538,0.014758069062500104,0.0001468109374999976,1.896842399082201,0.16042705833028892,0.0088796874999999,0.0005096875000001333,9.358254911736215e-17,7.716050021144837e-17,0.01650000000000007,0.000500000000000056,0.0017534313942279868,8.721644907194325e-06,-0.3079321591642422,0.03756557139498956,0.0017534313942279868,8.721644907194433e-06,0.42863096478433005,0.0,8.524685121879111e-05,9.141034877540918e-06,6.688397528155788e-05,1.756320310043815e-05,6.559648876725322e-05,2.6509506894251697e-08,3.930725308036905e-05,7.289400429716536e-07,6.984890793554935e-05,1.4771524065707956e-06,4.156655254989344e-05,9.61399661599879e-07,9.414657112373235e-05,4.6608161556231594e-07,9.030857441698817e-05,3.3566925669864663e-07,6.287540147567254e-05,2.7785924803420935e-06,4.130482906802344e-05,7.49994094872206e-06,7.40857916332553e-05,3.7738205782181466e-07,6.004758226260851e-05,7.720433519973582e-07,0.0008501757266747719,0.00020790310167207723,0.0004893231915061312,1.0515067152167402e-05,0.0026490584017623007,5.572070353073409e-05,0.004689843719104282,6.0346685932613844e-05,0.006151855417002,6.175636412891544e-05
good/蛋11.xlsx,0,8.528936177460475e-08,7.095586669675127e-09,8.89398562446125e-07,4.2249624827088085e-08,2.508913917459687e-07,2.9375083856680672e-08,1.306012072231656e-06,2.155738251167992e-08,1.1267372944688683e-07,1.6169813339594066e-09,6445.3125,23.4375,22125.0,46.875,7006.440014303801,21.347567079452347,11656.76530535542,100.9489012897684,5.434966331285301,0.012252762347888524,6.370358049135167,0.34175478177246355,0.014685699895833446,0.00023324677083333065,2.2786786747870087,0.16128626693468195,0.011137604166666759,0.0005092708333332974,6.811680849002262e-17,9.309682654408866e-17,0.020000000000000018,0.001000000000000112,0.001749093437649979,1.3890932357001951e-05,-0.15805611973100286,0.0019324778717762642,0.001749093437649979,1.3890932357001951e-05,0.4267555740779329,0.0031256511773286033,7.702023478787349e-05,2.249244125399046e-06,6.904785399442198e-05,4.903056744116998e-06,6.454747298645545e-05,1.2773551784919115e-06,4.062943248523792e-05,1.1685682181076569e-06,6.635183087525219e-05,4.209665355842294e-06,3.810129082242729e-05,2.706113483192523e-06,9.411464500428834e-05,1.2478755039234109e-06,9.187952341301767e-05,3.6203655711328773e-07,5.704404244834994e-05,7.765073471067369e-07,3.865150671412576e-05,1.3731031164320515e-06,7.246068135456445e-05,1.413603482076372e-06,6.105119692570215e-05,5.279535113698403e-07,0.0008196637651251544,1.8732079584145246e-05,0.0004325644952599459,5.120613161781773e-05,0.0023893591355060558,0.0001222537316436824,0.004963283009763742,2.8947334759583422e-05,0.006198586049521964,1.1517277930231731e-05
good/蛋12.xlsx,0,1.19089141517166e-07,2.2623252623163765e-08,8.203232515925812e-07,7.661189611449873e-09,2.633374349684814e-07,8.089816562354606e-09,1.2536956235898647e-06,7.2353962662274106e-09,1.1988052999775984e-07,5.501719830339448e-09,6468.75,0.0,21984.375,0.0,7047.080820784739,42.34424929202851,11238.744552400944,48.285361970532904,5.476175377806483,0.03042167802389706,8.550929519809575,1.5376908255990647,0.015236933229166773,0.0004929834374999935,3.1849248881954653,0.9946382968370218,0.015188645833333458,0.002492812500000108,9.654314384969591e-17,4.986751752274662e-17,0.024499999999999966,0.0035000000000000586,0.0017814404650361275,2.8826358452123694e-05,-0.008090244098460552,0.014742837402904569,0.0017814404650361272,2.8826358452123586e-05,0.42477599499895813,0.0017712023338195548,8.3060866358782e-05,6.110997109194766e-06,8.816001970149778e-05,7.595598514159787e-06,6.498490458031362e-05,3.81791519028416e-07,3.9568973538152056e-05,1.2865145478420082e-06,7.086112822682545e-05,2.30862662818652e-06,3.90642654912799e-05,2.306033415726154e-06,9.686488901407462e-05,6.140711905457523e-07,9.171329482755524e-05,1.8450972538459746e-06,6.335057580476928e-05,3.5034347384804547e-07,3.8440158262092875e-05,1.3962984321369888e-06,7.458817623597628e-05,1.0108358798101844e-06,6.151550392784608e-05,1.7666370440321359e-06,0.000974900436954123,0.00010019901968036376,0.000530595045396859,1.873930815406914e-05,0.0024556899239559704,0.00014393053168439466,0.005012705564819777,0.00010988757432034034,0.006328330858073816,0.000163039902845343
good/蛋13.xlsx,0,1.8744624293855623e-07,2.5878898817386176e-08,1.0764499503057693e-06,1.355415327447785e-07,3.4458977410438264e-07,8.442399603488778e-08,1.449417716113136e-06,9.755717295743649e-09,1.7727873977665678e-07,3.2644717025537664e-08,6445.3125,23.4375,21492.1875,632.8125,7112.521710121739,31.93035351335493,11064.122081516514,217.7573690531699,5.531830853003673,0.16568271552729374,18.971019082220714,12.246275845215703,0.01784016239583344,0.0018600823958333478,100.39556640949681,97.71498088920133,0.03775635416666656,0.02548635416666678,1.2402116370916854e-16,3.608224830031759e-17,0.04700000000000004,0.026000000000000134,0.0019252459318139304,0.00010064095173376183,-3.303257943587707,3.1229264172363327,0.0019252459318139304,0.00010064095173376183,0.4224838508022505,0.0051052302563033836,9.507650017693281e-05,2.9144506793611263e-06,0.00011104634224256657,4.561811995241478e-06,6.957797677252578e-05,2.9327811914356546e-06,4.554603212915966e-05,3.552331224775349e-06,7.507865229595818e-05,5.991741399044192e-06,4.399995398138343e-05,3.6125903624229984e-06,9.909429352047475e-05,3.3400835882535726e-06,9.816142844841395e-05,1.662238505992556e-06,6.785240686717298e-05,4.100006732292639e-06,5.0761879687914835e-05,3.213112422238732e-06,7.836192963635584e-05,3.384993225983928e-06,6.800890992508885e-05,2.677158276466052e-06,0.0013168303394336185,0.00014818184187247467,0.00076691017987479,0.00026816293516076584,0.0026776806991240226,8.755952369688368e-06,0.005853525236805211,0.0005523931353060992,0.007279929195944878,0.0008668991980293563
good/蛋14.xlsx,0,1.448881425015928e-07,1.70633308553377e-08,8.171904601994994e-07,1.94115160939398e-08,2.60243262927787e-07,1.6907914061761368e-08,1.2972488842426302e-06,4.9615480019372866e-08,1.2907777724418784e-07,2.2418243576190957e-08,6468.75,0.0,21421.875,328.125,7000.024395950493,5.081015398303862,10908.779691921149,113.76405663527294,5.47791285447212,0.011367831676873053,8.656869048917443,0.0021655416533130634,0.01586867291666677,2.608625000000142e-05,2.6442531280582267,0.06121351422142274,0.01574020833333334,1.6875000000027285e-05,-7.857140863857619e-17,2.731611233504812e-17,0.02400000000000002,0.0,0.001818233013347618,1.4944826589253016e-06,-0.016500069471763544,0.03337327740587437,0.001818233013347618,1.4944826589253016e-06,0.42831839966659724,0.00802250468847679,8.9157706841831e-05,3.595871814114663e-06,9.615538537780758e-05,5.383279321684034e-06,6.616205016487413e-05,5.827041797392882e-07,4.1319443042829564e-05,1.2803341036656535e-06,6.815010073521591e-05,4.7075306093668227e-07,4.0192195956162644e-05,2.9053209359181238e-06,9.91347483044386e-05,6.968771255504359e-07,9.673636392506458e-05,6.682304274951943e-07,6.356453183784449e-05,3.389519340556587e-06,4.266032186399772e-05,5.566643561322083e-06,7.521954504096867e-05,3.2656457580212104e-08,6.510130236420747e-05,4.888101569310835e-08,0.0010380610771536644,0.00015443328784901057,0.0005140817175635919,1.3922711931863539e-05,0.0026889263202213736,0.0001440160426600394,0.0052795597804979905,5.297832620308404e-05,0.006378123392807964,0.00010525378732986887
good/蛋15.xlsx,0,1.087637113006866e-07,4.079267496481965e-09,9.643923115344327e-07,1.753916520606528e-07,3.4222435420204655e-07,7.034694480452457e-08,1.399532886314383e-06,9.304672422300618e-08,1.5245663295739085e-07,3.0230166392190317e-08,6492.1875,23.4375,21257.8125,70.3125,6930.26059034689,6.157759850198545,11024.344148632605,174.19189788556196,5.559667657958895,0.11513469381579178,17.138078134276103,11.46404080674597,0.017087534895833416,0.0014540148958333433,70.95621819998107,69.13813957914289,0.03322739583333334,0.022987395833333313,-4.78089789979208e-17,4.1517715191711584e-17,0.04200000000000004,0.02400000000000002,0.0018850589840409145,8.034755743184345e-05,-2.5809268096316824,2.3556316394116257,0.0018850589840409145,8.034755743184345e-05,0.41883725776203373,0.008960200041675331,8.436108969255192e-05,9.7883685132219e-07,7.829584524333543e-05,6.291277302901742e-06,6.761657399674739e-05,2.6024212825249374e-06,4.220760046953389e-05,3.0057226425060247e-06,7.611176340473712e-05,4.0125011135249176e-06,4.451059771885002e-05,3.0074452162122316e-06,9.949124295614153e-05,1.582286057489673e-06,9.700142210258806e-05,2.441783892440555e-06,6.711031522317764e-05,3.124742501440993e-06,4.42186016026684e-05,3.6902495896979798e-06,7.740529346610258e-05,2.5299216789601315e-06,6.447975681953723e-05,5.288481208712005e-07,0.0010009291696713336,5.807427538359795e-05,0.0007512985842329922,0.00017866471206477708,0.002799216029586214,3.9907564589164316e-05,0.005595708170555901,0.0005529136169118553,0.007037804934238125,0.0006953322617557238
good/蛋16.xlsx,0,1.5210000804683835e-07,1.3358818377561147e-08,9.02998639913739e-07,3.343377285063821e-08,3.0254476805033275e-07,2.061358579275569e-08,1.3792305750294972e-06,2.1505315819914378e-09,1.4251949297790099e-07,9.075388668377815e-09,6468.75,0.0,21960.9375,164.0625,7087.636324103141,40.9018703984425,11173.21269608332,63.255896844125346,5.412275459840608,0.03427073268505598,7.633707349936134,0.6027190927567121,0.01568192989583342,0.00018875989583333128,2.7451498042170197,0.18869755960593793,0.013791145833333185,0.001006354166666612,-1.2020477206201956e-16,5.581183663376048e-17,0.02300000000000002,0.0010000000000000009,0.0018074707155336575,1.0878455169604237e-05,-0.1810934167718148,0.09799449384220013,0.0018074707155336575,1.0878455169604237e-05,0.4265471973327777,0.000625130235465704,8.676605637253514e-05,4.803804771313644e-06,9.984741399771261e-05,1.0024045442126676e-05,6.599810981266078e-05,1.4769620030641068e-06,4.056765356317495e-05,2.6152782008720084e-08,7.321492141637855e-05,2.500193045245025e-06,4.21619115517596e-05,9.762863693107369e-07,9.448302971091782e-05,8.621844904178899e-07,9.476627696059734e-05,8.317437692878708e-07,6.582112445523502e-05,8.837197328882696e-07,4.5508362361175386e-05,5.816934088548914e-06,7.479025307490216e-05,4.816567166383089e-07,6.361484223312396e-05,4.177097479377622e-07,0.0011477600112596404,6.992361849010652e-05,0.0005591010639353384,1.216669513129609e-05,0.00264812278417162,8.856290087941917e-05,0.00507045167045044,0.00010469817063222262,0.006312769915337257,0.00012613208833570826
good/蛋17.xlsx,0,1.0160753246199967e-07,6.939375165885861e-09,7.834212964817514e-07,1.6716088206042303e-08,2.6492473125806804e-07,8.53286629112597e-09,1.258352717553309e-06,2.7592909183624317e-08,1.532933448973895e-07,1.6972837914987932e-09,6468.75,0.0,21984.375,46.875,7065.933138484726,18.90790867015994,11056.541780250554,168.8032793008124,5.453447431762788,0.011934337788654048,6.09576815301478,0.13408439034952835,0.015691169166666758,0.00011369000000000743,2.070708990764511,0.12263693019241106,0.011020416666666755,0.00020250000000010537,-6.490178764787894e-17,7.799316747991725e-17,0.020000000000000018,0.0009999999999998899,0.001808023969086804,6.550083702328187e-06,-0.2619353285136347,0.053482057144041986,0.001808023969086804,6.550083702328187e-06,0.4230047926651386,0.0027088976870181525,8.631495025838312e-05,7.148419975184614e-07,7.146650571595434e-05,3.7281873903852343e-06,6.432886295391701e-05,4.278586550421774e-07,4.2104497821972436e-05,7.806652455880738e-07,6.9988456492712e-05,1.1151048442593783e-06,4.0868529975863e-05,2.2343061015344523e-07,9.725904426476726e-05,1.0292907876950974e-06,9.513963914857815e-05,1.4381493697392832e-06,6.56578167692509e-05,2.2431272403429351e-07,4.7476235254260785e-05,1.0576154683554799e-07,7.458739435781815e-05,5.613650265192077e-07,6.47771650856486e-05,1.1775025430762302e-06,0.0010055052708941876,6.433155894301963e-05,0.0005800474629856346,3.0324103858277043e-05,0.002596293190218233,5.157366802345845e-05,0.005185773246475082,5.911563372408297e-05,0.006464142857218837,0.0001669402040876413
good/蛋18.xlsx,0,1.127137921510877e-07,2.1684939955937564e-09,8.044874228029167e-07,1.4086807043534053e-08,3.0603088888346504e-07,2.6409314091237876e-09,1.315791490140677e-06,5.347062977247178e-08,1.416823466774309e-07,4.50354817700421e-09,6468.75,0.0,22078.125,0.0,7134.013102322291,28.586757954788027,11182.867853695658,110.8540835413196,5.449410792972731,0.015256678391021072,8.26071872993479,3.158532913700763,0.015822671979166755,0.00012419281249999303,3.662992798692328,1.3226436519404836,0.015020520833333273,0.005793437500000054,8.858654550654894e-17,7.44312019425782e-17,0.024499999999999966,0.00649999999999995,0.0018155823375235298,7.12540050358079e-06,-0.098495659777068,0.16029570547953811,0.0018155823375235298,7.1254005035805736e-06,0.4246718066263805,0.007918316315899149,8.641240076034398e-05,3.71832143073919e-06,8.104670243536126e-05,7.642035092763879e-07,6.370758375734574e-05,7.704879480808404e-07,3.967915850257874e-05,8.077450145664718e-08,7.372516482641382e-05,8.810370829544242e-07,4.434378712067149e-05,6.888311680963014e-07,9.652700711003956e-05,9.90664647277864e-07,9.265361568732805e-05,4.4948542573716564e-07,6.3606996163087e-05,3.030675133709927e-07,4.3288557685528355e-05,1.3650318924973317e-06,7.483791882927491e-05,6.358349087226596e-07,6.283596891984368e-05,1.637894036273031e-07,0.001022659184561079,9.979866768297684e-05,0.0005871210013931782,6.370547277230481e-05,0.002712485727025678,3.6732082237368e-05,0.005203899524199043,5.3780175323865035e-05,0.006453500028991376,4.358006100871337e-05
